"parameter";"value"
"ag_biomass_thres";500
"ag_biomass_max";750
"ag_v_max";8.1
"ag_k_max";12.6
"ag_sigmoid_slope";-2.5
"ag_reduction";0.01
"ag_slough_ratio";0.15
"bg_biomass_max";4500
"bg_v_max";9.8
"bg_k_max";178.1
"bg_sigmoid_slope";-2.5
"bg_reduction";0.01
"bg_slough_ratio";0.15
"slough_detritus_ratio";0.9
"detritus_fraction";0.15
"detritus_diffusion";0.3
"detritus_death_diffusion";0.6
"detritus_death_decomp";0.6
"wc_diffusion";0.6
"pop_mean_size";9
"pop_mean_move";8
"pop_a_grunt";0.0121
"pop_b_grunt";3.161
"pop_k_grunt";0.2
"pop_linf_grunt";41.6
"pop_n_body";0.02999
